Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Stability Ball Stir The Pot,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Alternating Side Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Rotational,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow
Ring L Hang Flutter Kicks ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Slam Ball Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Slam Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Dumbbell Otis Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Dumbbell,1,,,Side Plank,Single Arm,Continuous,Neutral,Other,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel,1,,,Prone,Double Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1,,,Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Medicine Ball V-Up,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball,1,,,V Sit Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Push Up Alternating Kick Through,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow
Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,
Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,
Stability Ball Knee Tuck,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,L Sit,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Standing,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Standing Walkout Push-Up ,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Rectus Abdominis ,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Barbell Climb,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Ipsilateral Bird Dog,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,
Copenhagen Plank Knee to Elbow,Video Demonstration,,Expert,Adductors,Adductor Magnus,,,Bodyweight,0,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,
Ring Dead Hang,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,
Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,
Suspension Alternating Archer Row Hold ,,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,
Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Pull Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Eccentric Chin Up,Video Demonstration,,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,,Quadruped,No Arms,Continuous,Flat Palm,No Load,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis ,,Medicine Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Cable Reverse Ankle Strap Crunch,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Cable,1,,,Supine,No Arms,Continuous,No Grip,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Cable Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Cable Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Kettlebell Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Kettlebell,1,,,Half Kneeling,Double Arm,Continuous,Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Cable Standing High to Low Chop ,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Cable Standing Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Kettlebell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Kettlebell Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,,,Kettlebell,1,,,Seated,Double Arm,Continuous,Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Feet On Wall Mountain Climber ,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Alternating Single Arm Kettlebell Plank Pull Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Kettlebell,1,,,Prone,Single Arm,Alternating,Pronated,Other,Single Exercise,Anti-Extension,Anti-Rotational ,,Sagittal Plane,Frontal Plane,,Midsection,Other,Compound,Unilateral,
Hollow Body Hold,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Double Arm,Continuous,No Grip,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Inverted ,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,,,Bodyweight,0,,,Inverted ,No Arms,Continuous,Head Supported,No Load,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Other,Single Exercise,,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Balance
Supine Alternating Single Leg Raise,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,,,Miniband,1,,,Supine,No Arms,Alternating,Head Supported,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Butterfly Sit Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Pike,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Rotational,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Single Leg Knee Tuck,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Kneeling Push Up,Video Demonstration,,Novice,Chest,Pectoralis Major,,,Parallette Bars,2,,,Kneeling,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Calisthenics
Single Arm Kettlebell Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Dumbbell,1,,,Side Plank,Single Arm,Continuous,Neutral,Other,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Glute Bridge Alternating Single Leg Extension,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Miniband Side Lying Clamshell,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,,Side Lying,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
Miniband Side Lying Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Side Lying,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,
Miniband Bench Seated Hip Abduction,Video Demonstration,,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,
Miniband Glute Bridge With Hip Abduction,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,Hip Abduction,,Sagittal Plane,Transverse Plane,,Lower Body,Other,Compound,Bilateral,
Stability Ball Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Stability Ball Dumbbell Hip Thrust,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,Dumbbell,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Bodyweight Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Dumbbell Frog Pump,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Cable Glute Kickback,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Cable,1,,,Standing,No Arms,Continuous,Hand Assisted,Other,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Isolation,Unilateral,Bodybuilding
Foot Elevated Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Suspension Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Suspension Trainer,1,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Miniband Thigh Lateral Walk,Video Demonstration,Video Explanation,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
Miniband Shin Lateral Walk,Video Demonstration,Video Explanation,Novice,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,,,Walking,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,
